pc11_s_id,pc11_d_id,d_name,year,footprint_m2,volume_m3,mean_height_m
1,3,Leh(Ladakh),2017,5.512441292847252e8,4.4702422909030133e8,0.8109369430751927
1,3,Leh(Ladakh),2018,3.44916150101254e8,1.6073146747099105e8,0.46600157001580395
1,3,Leh(Ladakh),2019,6.166201486046205e8,3.364129825837513e8,0.5455757216903089
1,3,Leh(Ladakh),2020,3.389399832058863e8,1.7090403509004843e8,0.5042309658292341
1,3,Leh(Ladakh),2021,2.881355220916821e8,1.1707695917720129e8,0.4063260174493462
1,3,Leh(Ladakh),2022,2.999968168127796e8,1.03788515644944e8,0.3459653897251709
1,3,Leh(Ladakh),2023,3.0361223988994336e8,1.1029808849532379e8,0.3632860405605052
1,4,Kargil,2016,2.3523164713049948e8,2.693438071414881e8,1.1450151815332237
1,4,Kargil,2017,1.8941074157106692e8,1.6187292892605788e8,0.8546132472921191
1,4,Kargil,2018,1.7868427329936045e8,1.0626215037223311e8,0.5946922379352646
1,4,Kargil,2019,1.5292675248135725e8,1.0722746571999492e8,0.7011687881952939
1,4,Kargil,2020,1.37134927674303e8,8.433925275609428e7,0.6150092772601372
1,4,Kargil,2021,1.1223821216192555e8,4.998300654601448e7,0.44532967501214493
1,4,Kargil,2022,1.173465690037875e8,4.147647518398937e7,0.35345281533242495
1,4,Kargil,2023,1.1742284286617647e8,4.718521229857426e7,0.40184014580834093
1,5,Punch,2016,3.7509899756487435e8,1.0284701750219207e8,0.2741863299285528
1,5,Punch,2017,3.85830883448426e8,1.0397534579661287e8,0.26948424881729627
